Country	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
China	1935	2747	3487	4729	6229	8507	10630	12634	15397	17627	20221	24968	28266	34201	41041	47325	51426	59471	67699	51468
USA	4406	5517	6655	7846	9201	11200	12504	13558	14812	15576	17400	18864	19888	21210	22309	23563	24743	25411	25567	16577
India	384	595	659	911	1183	1441	1935	2479	3045	3616	4353	5553	6127	7782	9481	10939	12398	13451	14671	10363
Iran	8	10	30	30	56	129	287	480	831	1411	2018	3014	3686	4595	5514	7001	8561	9489	10138	7202
South Korea	513	918	1088	1572	2088	2473	3027	3377	4214	4605	5335	6349	6911	7506	8228	8910	9243	9261	9760	6636
Germany	1940	2698	3061	3203	3625	4017	4556	4941	5305	5692	6219	6859	6965	7304	7801	8153	8742	8873	8793	5742
Japan	2286	3306	3785	4198	4815	5209	5627	5764	6140	6229	6305	6794	6727	7005	7253	7359	7626	7731	7711	5196
UK	1037	1316	1496	1647	1762	1962	2283	2575	2907	3089	3243	3455	3628	3974	4353	4834	5538	5822	5898	3901
France	1215	1654	1987	2222	2397	2820	3128	3251	3847	4020	4251	4574	4829	5109	5227	5624	5863	6022	5626	3801
Russia	910	1302	1495	1595	1752	1730	1924	2135	2342	2531	2722	2859	2895	3195	3549	4785	5197	5463	5945	3602
Australia	227	318	365	512	599	724	936	1107	1316	1543	1694	2119	2283	2713	3067	3540	3709	3945	4319	3192
Spain	447	665	815	862	1093	1325	1596	1909	2148	2439	2711	3045	3423	3610	3890	4064	4495	4551	4711	3151
Italy	600	873	1052	1260	1467	1548	1739	2084	2238	2494	2692	3031	3229	3526	3725	4123	4322	4504	4430	2902
Canada	457	501	634	814	963	1209	1423	1628	1798	1956	2050	2403	2628	2813	2928	3252	3342	3599	3766	2552
Saudi Arabia	11	8	8	7	16	19	19	31	45	139	293	610	919	1223	1774	2464	2763	2939	3207	2341
Brazil	220	327	509	462	551	637	757	858	996	1063	1221	1338	1563	1827	2063	2230	2732	2998	3195	2294
Taiwan	251	428	475	693	987	1330	1738	1862	2255	2504	2720	3168	3106	3409	3392	3181	3118	3120	2996	2071
Turkey	55	76	98	139	184	209	256	335	468	595	756	907	1054	1356	1581	1867	2253	2366	2591	2024
Egypt	28	20	41	51	47	72	112	164	201	301	378	479	659	854	1126	1421	1632	1919	2331	1830
Poland	255	427	565	658	795	856	972	1020	1154	1151	1216	1302	1475	1695	1921	2285	2532	2607	2558	1818
Pakistan	3	8	7	14	17	16	32	67	94	119	151	241	349	476	640	951	1324	1749	2022	1742
Singapore	165	231	300	358	584	690	892	983	1150	1275	1559	1818	1994	2102	2305	2442	2385	2394	2311	1583
Malaysia	8	16	22	33	56	52	97	107	160	297	511	779	930	1207	1482	1746	1933	1964	1914	1489
Switzerland	370	422	520	523	702	723	880	924	1086	1157	1293	1416	1554	1566	1705	1832	1992	2056	2012	1256
Sweden	289	408	504	520	559	611	701	708	776	826	971	1153	1246	1372	1550	1578	1714	1887	1869	1204
