	Country	tsne_clusters
0	China	1
1	USA	1
2	India	1
3	Iran	1
4	South Korea	1
5	Germany	1
6	Japan	1
7	UK	1
8	France	1
9	Russia	1
10	Australia	1
11	Spain	1
12	Italy	1
13	Canada	1
14	Saudi Arabia	3
15	Brazil	1
16	Taiwan	1
17	Turkey	3
18	Egypt	3
19	Poland	1
20	Pakistan	3
21	Singapore	1
22	Malaysia	3
23	Switzerland	1
24	Sweden	1
25	Netherlands	1
26	Mexico	3
27	Czech Republic	0
28	Belgium	0
29	Portugal	0
30	Vietnam	3
31	South Africa	3
32	Thailand	3
33	Austria	0
34	Finland	0
35	Denmark	0
36	Romania	0
37	Ukraine	0
38	Ireland	0
39	Greece	0
40	Iraq	3
41	Argentina	0
42	Indonesia	3
43	Algeria	3
44	Norway	0
45	UAE	2
46	Tunisia	3
47	Chile	3
48	Hungary	0
49	Colombia	0
50	New Zealand	0
51	Slovakia	0
52	Slovenia	0
53	Belarus	0
54	Morocco	2
55	Nigeria	2
56	Bangladesh	2
57	Serbia	0
58	Qatar	3
59	Bulgaria	2
60	Kuwait	2
61	Kazakhstan	2
62	Lithuania	2
63	Croatia	2
64	Jordan	2
65	Oman	2
66	Cyprus	2
67	Lebanon	2
68	Azerbaijan	2
69	Estonia	2
70	Luxembourg	2
71	Philippines	3
72	Ecuador	2
73	Latvia	2
74	Yemen	2
75	Bahrain	2
76	Sri lanka	2
77	Armenia	2
78	Cuba	2
79	Peru	2
80	Uruguay	2
81	Venezuela	2
82	Moldova	2
83	Cameroon	2
84	Uzbekistan	2
85	Iceland	2
86	North Korea	2
87	Kenya	2
88	Nepal	2
89	Syria	2
90	Bosnia	2
91	Costa rica	2
92	Georgia	2
93	Senegal	2
94	Jamaica	2
95	Zimbabwe	2
96	Tajikistan	2
97	Liechtenstein	2
98	Panama	2
99	Albania	2
100	Paraguay	2
101	Bolivia	2
102	Afghanistan	2
103	Kyrgyzstan	2
104	Turkmenistan	2
