	Unnamed: 0	Country	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	iForest
0	0	China	1935.0	2747	3487	4729	6229	8507	10630	12634	15397	17627	20221	24968	28266	34201	41041	47325	51426	59471	67699.0	51468	1
1	1	USA	4406.0	5517	6655	7846	9201	11200	12504	13558	14812	15576	17400	18864	19888	21210	22309	23563	24743	25411	25567.0	16577	1
2	2	India	384.0	595	659	911	1183	1441	1935	2479	3045	3616	4353	5553	6127	7782	9481	10939	12398	13451	14671.0	10363	1
3	3	Iran	8.0	10	30	30	56	129	287	480	831	1411	2018	3014	3686	4595	5514	7001	8561	9489	10138.0	7202	-1
4	4	South Korea	513.0	918	1088	1572	2088	2473	3027	3377	4214	4605	5335	6349	6911	7506	8228	8910	9243	9261	9760.0	6636	1
5	5	Germany	1940.0	2698	3061	3203	3625	4017	4556	4941	5305	5692	6219	6859	6965	7304	7801	8153	8742	8873	8793.0	5742	1
6	6	Japan	2286.0	3306	3785	4198	4815	5209	5627	5764	6140	6229	6305	6794	6727	7005	7253	7359	7626	7731	7711.0	5196	-1
7	7	UK	1037.0	1316	1496	1647	1762	1962	2283	2575	2907	3089	3243	3455	3628	3974	4353	4834	5538	5822	5898.0	3901	1
8	8	France	1215.0	1654	1987	2222	2397	2820	3128	3251	3847	4020	4251	4574	4829	5109	5227	5624	5863	6022	5626.0	3801	1
9	9	Russia	910.0	1302	1495	1595	1752	1730	1924	2135	2342	2531	2722	2859	2895	3195	3549	4785	5197	5463	5945.0	3602	1
10	10	Australia	227.0	318	365	512	599	724	936	1107	1316	1543	1694	2119	2283	2713	3067	3540	3709	3945	4319.0	3192	1
11	11	Spain	447.0	665	815	862	1093	1325	1596	1909	2148	2439	2711	3045	3423	3610	3890	4064	4495	4551	4711.0	3151	1
12	12	Italy	600.0	873	1052	1260	1467	1548	1739	2084	2238	2494	2692	3031	3229	3526	3725	4123	4322	4504	4430.0	2902	1
13	13	Canada	457.0	501	634	814	963	1209	1423	1628	1798	1956	2050	2403	2628	2813	2928	3252	3342	3599	3766.0	2552	1
14	15	Brazil	220.0	327	509	462	551	637	757	858	996	1063	1221	1338	1563	1827	2063	2230	2732	2998	3195.0	2294	1
15	16	Taiwan	251.0	428	475	693	987	1330	1738	1862	2255	2504	2720	3168	3106	3409	3392	3181	3118	3120	2996.0	2071	1
16	19	Poland	255.0	427	565	658	795	856	972	1020	1154	1151	1216	1302	1475	1695	1921	2285	2532	2607	2558.0	1818	1
17	21	Singapore	165.0	231	300	358	584	690	892	983	1150	1275	1559	1818	1994	2102	2305	2442	2385	2394	2311.0	1583	1
18	23	Switzerland	370.0	422	520	523	702	723	880	924	1086	1157	1293	1416	1554	1566	1705	1832	1992	2056	2012.0	1256	1
19	24	Sweden	289.0	408	504	520	559	611	701	708	776	826	971	1153	1246	1372	1550	1578	1714	1887	1869.0	1204	1
20	25	Netherlands	384.0	466	502	563	679	747	853	885	942	1107	1213	1288	1328	1520	1469	1633	1823	1782	1773.0	1175	1
